,index,Image_url,Image,Text_Description
21,21,https://images-na.ssl-images-amazon.com/images/I/41BRiHD0dYL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x7BA8D4655C00>,"Big Party Pack Orange Peel Plastic Plates | 10.25"" | Pack of 50 | Party Supply | Toys & Games | Party Supplies | Party Tableware | Plates | $12.63"
22,22,https://images-na.ssl-images-amazon.com/images/I/519BaFjimBL.jpg|https://images-na.ssl-images-amazon.com/images/I/51vOIUMj0ML.jpg|https://images-na.ssl-images-amazon.com/images/I/51QRaxeSHcL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=488x500 at 0x7BA8D4657820>,Peppa Pig Shape Sorter Clock Puzzle (12Piece) | Toys & Games | Baby & Toddler Toys | Teaching Clocks | $11.88
23,23,https://images-na.ssl-images-amazon.com/images/I/41bejMzMMgL.jpg|https://images-na.ssl-images-amazon.com/images/I/51Q4WjgBiuL.jpg|https://images-na.ssl-images-amazon.com/images/I/51mF8EfCcdL.jpg|https://images-na.ssl-images-amazon.com/images/I/31sgrPSX7yL.jpg|https://images-na.ssl-images-amazon.com/images/I/51dodtvTrjL.jpg|https://images-na.ssl-images-amazon.com/images/I/41lLlFdRmwL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=350x500 at 0x7BA8D270EA10>,"Huffy Kids Bikes 16 & 20 inch with Streamers and BMX Pegs | Toys & Games | Tricycles, Scooters & Wagons | Balance Bikes | $74.99 - $249.99"
24,24,https://images-na.ssl-images-amazon.com/images/I/51M1sShThFL.jpg|https://images-na.ssl-images-amazon.com/images/I/410BRNy1DyL.jpg|https://images-na.ssl-images-amazon.com/images/I/41qE7aAEXPL.jpg|https://images-na.ssl-images-amazon.com/images/I/31dPZVJqwRL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x7BA8D270E6E0>,NKOK Sonic and Sega All Stars Racing Remote Controlled Car - Sonic The Hedgehog | Toys & Games | Kids' Electronics | $26.99
25,25,https://images-na.ssl-images-amazon.com/images/I/41y%2BKv5LLzL.jpg|https://images-na.ssl-images-amazon.com/images/I/319j8eJEtNL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=392x500 at 0x7BA8D270FC70>,Industro Stainless Steel Hose Clamps | Home & Kitchen | Home Décor | Kids' Room Décor | $34.27
26,26,https://images-na.ssl-images-amazon.com/images/I/31B3hyqqWAL.jpg|https://images-na.ssl-images-amazon.com/images/I/41SjEJ1%2B-6L.jpg|https://images-na.ssl-images-amazon.com/images/I/51HESzXLyqL.jpg|https://images-na.ssl-images-amazon.com/images/I/41%2BTcyn0oKL.jpg|https://images-na.ssl-images-amazon.com/images/I/51r8Uk%2Bf1tL.jpg|https://images-na.ssl-images-amazon.com/images/I/511NoA3bRQL.jpg|https://images-na.ssl-images-amazon.com/images/I/3168ZmkMkZL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=143x500 at 0x7BA8D270E920>,"Oopsy Daisy Birchwood Owl Growth Chart, Pink, 12"" x 42"" | Baby Products | Nursery | Décor | Wall Décor | Growth Charts | $18.70"
27,27,https://images-na.ssl-images-amazon.com/images/I/518B%2BLjZbOL.jpg|https://images-na.ssl-images-amazon.com/images/I/514kzTP1M%2BL.jpg|https://images-na.ssl-images-amazon.com/images/I/51kGTNu1CmL.jpg|https://images-na.ssl-images-amazon.com/images/I/51UDOwMmdOL.jpg|https://images-na.ssl-images-amazon.com/images/I/51CdU8KL%2BxL.jpg|https://images-na.ssl-images-amazon.com/images/I/51TlzvJ4HHL.jpg|https://images-na.ssl-images-amazon.com/images/I/61dQuCGTN1L.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x403 at 0x7BA8D270CDC0>,Springbok Puzzles - Christmas Wishes - 400 Piece Jigsaw Puzzle - Large 26.75 Inches by 20.5 Inches Puzzle - Made in USA - Unique Cut Interlocking Pieces - Big Pieces for Kids & Small Pieces for Adults | Toys & Games | Puzzles | Jigsaw Puzzles | $14.95
28,28,https://images-na.ssl-images-amazon.com/images/I/51CiVVrsClL.jpg|https://images-na.ssl-images-amazon.com/images/I/41qxTDiJDaL.jpg|https://images-na.ssl-images-amazon.com/images/I/51-DoCmbB1L.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x7BA8D270F820>,Franklin Sports Eye Black Stickers for Kids - Customizable Lettering Baseball and Football Eye Black Stickers - White Pencil Included | Sports & Outdoors | Sports & Fitness | Team Sports | $6.91
29,29,https://images-na.ssl-images-amazon.com/images/I/41UH2QoXb2L.jpg|https://images-na.ssl-images-amazon.com/images/I/41uc1vqLzYL.jpg|https://images-na.ssl-images-amazon.com/images/I/41LEOE0f8ZL.jpg|https://images-na.ssl-images-amazon.com/images/I/51EolpdzngL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x7BA8D270C730>,Costume Sunglasses Clown from IT Sun-Staches Party Favors UV400 | Toys & Games | Dress Up & Pretend Play | Costumes | $5.99
30,30,https://images-na.ssl-images-amazon.com/images/I/41uqfIm8fZL.jpg|https://images-na.ssl-images-amazon.com/images/I/41M%2ByCtzg1L.jpg|https://images-na.ssl-images-amazon.com/images/I/41CMvKDE-xL.jpg|https://images-na.ssl-images-amazon.com/images/I/51DpcukS7pL.jpg|https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=280x500 at 0x7BA8D270DA80>,"Jay Franco Disney Frozen 2 Forest Spirit Twin/Full Comforter & Sham Set, Mutli | Home & Kitchen | Bedding | Kids' Bedding | Comforters & Sets | Comforter Sets | $36.37"
